TotalCharges,tenure,MonthlyCharges,InternetService_Fiber optic,PaymentMethod_Electronic check,Contract_Two year,gender_Male,OnlineSecurity_Yes,PaperlessBilling_Yes,Partner_Yes,TechSupport_Yes,SeniorCitizen,Churn
45.25,1,45.25,False,False,False,True,False,False,False,False,1,0
7251.7,72,99.9,True,False,True,False,True,False,True,True,0,0
316.9,5,69.7,True,True,False,True,False,True,False,False,0,1
3548.3,46,74.8,True,False,False,False,False,True,False,False,0,0
3549.25,34,106.35,True,True,False,True,False,True,False,False,0,1
1105.4,11,97.85,True,False,False,False,False,True,False,False,0,1
475.7,10,49.55,False,False,False,True,False,False,True,False,0,0
4872.35,70,69.2,False,False,True,False,True,True,True,False,0,0
418.25,17,20.75,False,False,False,False,False,False,True,False,0,0
4861.45,63,79.85,False,False,True,False,True,True,False,True,0,0
981.45,13,76.2,False,True,False,False,True,True,True,True,0,0
3906.7,49,84.5,True,True,False,False,False,True,False,False,0,0
97.0,2,49.25,False,False,False,True,False,False,False,False,0,0
144.15,2,80.65,True,True,False,False,False,True,False,False,0,1
4217.8,52,79.75,False,False,True,True,True,True,False,True,0,0
4254.1,69,64.15,False,False,True,False,True,True,True,True,0,0
3838.75,43,90.25,True,True,False,False,False,True,False,False,1,0
1426.4,15,99.1,True,False,False,False,True,True,False,False,0,1
1752.65,25,69.5,False,False,False,False,True,True,True,True,1,0
633.3,8,80.65,True,False,False,False,False,True,True,False,1,1
4456.35,60,74.85,False,False,False,False,True,True,True,True,1,0
1752.55,18,95.45,True,True,False,True,False,True,False,False,1,1
6311.2,63,99.65,True,False,False,False,True,True,True,False,0,0
7076.35,66,108.45,True,True,False,True,False,True,True,True,1,0
894.3,34,24.95,False,False,True,False,False,False,True,False,0,0
7853.7,72,107.5,True,False,True,False,False,True,False,True,0,0
4707.1,47,100.5,True,True,False,False,False,True,True,False,0,0
5450.7,60,89.9,True,False,False,True,False,True,False,False,0,0
2962.0,72,42.1,False,False,True,True,True,False,True,False,0,0
957.1,18,54.4,False,False,False,False,False,True,True,True,0,0
857.25,9,94.4,True,True,False,False,False,False,False,False,0,1
244.1,3,75.3,False,True,False,False,False,True,False,True,0,0
3650.35,47,78.9,True,True,False,True,False,True,True,False,0,0
2497.2,31,79.2,False,False,True,False,False,False,False,True,0,0
930.9,50,20.15,False,False,True,False,False,False,True,False,0,0
887.35,10,79.85,True,False,False,True,True,True,False,False,0,0
49.05,1,49.05,False,False,False,True,False,False,False,True,0,0
1090.65,52,20.4,False,True,False,False,False,True,True,False,0,0
7099.0,64,111.6,True,False,True,True,True,True,True,True,1,0
1424.6,62,24.25,False,False,True,True,False,True,True,False,0,0
177.4,3,64.5,False,False,False,False,True,True,False,True,0,0
6139.5,56,110.5,True,True,False,False,True,False,False,False,1,0
2688.85,46,55.65,False,False,False,False,False,False,False,False,0,0
482.25,8,54.65,False,False,False,False,True,False,True,False,0,0
2111.3,30,74.75,False,True,False,True,True,True,False,False,1,0
1216.6,45,25.9,False,False,False,False,False,True,True,False,0,0
79.35,1,79.35,True,True,False,False,False,True,False,False,0,1
565.35,11,50.55,False,True,False,False,True,False,True,False,0,0
496.9,7,75.15,True,False,False,False,False,True,True,False,0,1
4327.5,42,103.8,True,False,False,False,False,True,False,True,0,0
973.35,49,20.15,False,False,True,False,False,True,True,False,0,0
918.75,9,99.3,True,False,False,True,False,True,False,False,0,0
2215.45,35,62.15,False,False,False,False,True,True,True,False,0,0
1057.0,48,20.65,False,False,True,False,False,False,True,False,0,0
927.1,46,19.95,False,False,True,False,False,True,True,False,0,0
1009.25,29,33.75,False,False,False,True,False,False,True,False,0,0
2570.2,30,82.05,True,False,False,True,False,False,True,False,0,0
74.7,1,74.7,True,True,False,True,False,False,False,True,1,0
5714.25,66,84.0,False,False,True,True,True,True,True,True,0,0
7107.0,65,111.05,True,False,False,False,True,True,False,False,0,0
7459.05,72,100.9,True,False,True,True,False,True,False,False,0,0
927.35,12,78.95,True,True,False,False,True,True,False,False,0,1
4748.7,71,66.85,False,False,False,True,True,True,True,True,0,0
113.85,5,21.05,False,False,False,True,False,False,False,False,0,1
1107.2,52,21.0,False,False,True,True,False,False,False,False,0,0
2514.5,25,98.5,True,True,False,False,False,True,True,False,1,1
20.2,1,20.2,False,False,False,True,False,False,False,False,0,0
19.45,1,19.45,False,True,False,False,False,False,True,False,0,0
3605.6,38,95.0,True,False,False,True,False,False,False,True,0,0
3027.25,66,45.55,False,False,False,False,False,False,True,False,1,0
7611.85,68,110.0,True,False,True,True,False,True,True,True,0,1
100.2,5,24.3,False,False,False,True,False,False,False,False,0,0
7303.05,72,104.15,True,True,False,False,True,True,True,False,0,0
927.65,32,30.15,False,False,False,False,True,False,False,False,0,0
3921.3,43,94.35,True,False,False,True,False,False,False,False,0,0
1363.25,72,19.4,False,False,True,True,False,False,True,False,0,0
5238.9,55,96.75,True,True,False,True,True,True,True,False,0,1
3042.25,52,57.95,False,False,False,False,True,False,False,True,0,0
3954.1,43,91.65,True,True,False,False,False,True,False,False,0,0
2868.15,37,76.5,True,True,False,False,False,True,True,False,1,1
3423.5,64,54.6,False,True,True,False,False,True,True,True,0,0
248.4,3,89.85,True,True,False,True,True,False,True,False,0,0
1126.35,36,31.05,False,False,True,False,True,False,False,False,0,0
1064.65,10,100.25,True,True,False,False,True,True,True,False,0,1
835.15,41,20.65,False,False,True,False,False,False,False,False,0,0
2151.6,27,85.2,True,False,False,True,False,True,True,True,0,0
5515.45,56,99.8,True,False,False,False,False,True,True,False,0,0
112.75,6,20.7,False,False,False,False,False,False,False,False,0,0
229.55,3,74.4,True,True,False,True,False,True,False,False,0,1
350.35,7,50.7,False,False,False,False,True,False,True,False,0,0
62.9,4,20.85,False,False,False,False,False,False,True,False,0,0
3027.65,33,88.95,True,True,True,True,True,True,False,True,0,0
2135.5,27,78.05,True,True,False,False,False,True,False,False,1,1
1723.95,72,23.55,False,False,True,True,False,True,True,False,0,0
19.75,1,19.75,False,False,False,True,False,False,False,False,0,0
3985.35,71,56.45,False,True,False,True,True,True,False,False,1,0
1215.65,13,85.95,True,True,False,False,False,True,False,False,0,0
1502.65,25,58.6,False,False,False,False,True,True,True,False,0,1
3260.1,67,50.55,False,False,True,True,False,False,False,True,0,0
35.45,1,35.45,False,True,False,True,False,True,False,False,0,1
81.25,2,44.35,False,True,False,True,False,False,False,False,0,1
1188.2,43,25.7,False,False,True,False,False,True,False,False,0,0
1778.5,23,75.0,True,False,False,False,True,True,False,False,0,0
1277.75,64,20.2,False,False,True,False,False,False,True,False,0,0
1170.55,57,19.6,False,False,True,True,False,True,False,False,0,0
70.45,1,70.45,True,False,False,False,False,True,True,False,1,1
6425.65,72,88.05,False,False,True,False,True,True,True,True,1,0
563.65,8,71.15,False,True,False,False,True,False,False,True,0,1
5971.25,61,101.05,True,False,True,False,False,True,True,False,0,0
5289.05,64,84.3,True,False,False,True,True,True,False,False,0,0
1756.2,71,23.95,False,False,True,True,False,False,True,False,1,0
6416.7,65,99.05,True,False,True,False,True,True,True,True,0,0
61.35,3,19.6,False,False,False,True,False,False,False,False,0,0
45.65,1,45.65,False,True,False,True,False,True,False,False,0,1
1929.95,30,64.5,False,False,False,True,False,False,False,False,0,0
1071.4,15,69.5,False,False,False,True,False,True,True,True,0,0
564.35,8,68.55,False,True,False,False,False,True,True,True,0,0
655.5,7,95.0,True,False,False,True,False,False,False,False,0,1
7930.55,70,108.15,True,False,False,False,True,True,True,False,0,0
5215.25,62,86.1,False,True,True,True,True,False,True,True,0,0
113.5,6,19.7,False,False,False,False,False,False,True,False,0,0
1152.8,14,80.9,True,False,False,False,False,True,True,False,0,0
1821.95,22,84.15,True,False,False,False,False,True,False,False,0,0
419.9,22,20.15,False,False,False,True,False,False,True,False,0,0
1024.0,16,64.25,False,False,True,True,True,False,True,False,0,0
251.6,10,25.7,False,False,True,True,False,False,False,False,0,0
764.55,13,56.0,False,True,False,False,True,True,False,False,0,0
1592.35,20,82.4,True,True,False,False,True,False,True,False,0,1
135.2,2,69.7,True,True,False,False,False,True,False,False,0,0
3958.25,53,73.9,False,False,True,True,False,True,False,True,0,0
233.9,11,20.6,False,False,False,False,False,False,True,False,0,0
1363.45,69,19.9,False,False,True,True,False,False,True,False,0,0
273.0,4,70.9,True,False,False,False,False,True,False,False,0,1
6254.45,72,89.05,False,False,True,True,True,True,True,True,0,0
2651.2,58,45.3,False,True,False,True,False,True,True,False,1,1
321.4,16,20.4,False,True,False,False,False,False,True,False,0,0
3539.25,43,84.25,True,False,False,True,True,True,True,True,0,0
242.8,2,104.4,True,True,False,False,False,True,True,True,0,1
1181.75,14,81.95,False,False,True,True,False,False,True,True,0,0
5000.2,53,94.85,True,False,False,False,False,True,True,False,0,1
654.55,32,20.55,False,False,False,False,False,False,False,False,0,0
780.2,34,24.7,False,True,False,False,False,False,True,False,0,0
1145.7,15,74.45,True,False,False,False,False,True,False,False,1,1
503.6,7,76.45,True,False,False,False,True,False,False,False,1,1
1559.25,15,105.35,True,False,False,False,False,True,True,False,0,0
1252.0,61,20.55,False,False,False,True,False,True,True,False,0,0
29.95,1,29.95,False,False,False,False,False,False,False,False,0,1
45.3,1,45.3,False,False,False,False,False,False,False,False,0,0
662.65,8,84.5,True,False,False,True,False,False,False,False,0,1
2453.3,33,74.75,False,False,False,True,True,False,True,False,0,0
1111.65,13,79.25,True,True,False,False,False,True,False,False,0,1
24.8,1,24.8,False,True,False,False,False,True,True,False,0,1
1023.85,20,51.8,False,False,False,True,False,True,False,False,0,0
82.15,3,30.4,False,True,False,True,False,False,False,True,0,0
244.8,13,19.65,False,True,False,False,False,False,False,False,0,0
2379.1,40,56.6,False,False,False,False,False,False,True,False,0,0
3173.35,43,71.9,False,False,False,True,True,True,True,True,0,0
531.0,6,91.0,True,True,False,True,False,True,True,False,0,1
1375.4,69,19.75,False,False,True,False,False,False,True,False,0,0
8129.3,72,109.7,True,False,True,False,True,False,True,False,0,0
1192.7,59,19.3,False,False,True,True,False,False,True,False,0,0
1901.65,20,96.55,True,True,False,False,True,True,True,True,0,0
587.4,24,24.1,False,False,True,True,False,True,True,False,0,0
6519.75,59,111.35,True,True,False,True,False,True,False,True,0,0
8041.65,72,112.25,True,False,True,True,False,True,True,True,0,0
20.75,1,20.75,False,False,False,True,False,False,False,False,0,0
2681.15,27,101.9,True,False,False,False,True,True,True,True,0,0
1112.3,14,80.05,True,False,False,False,False,True,False,True,0,0
7405.5,71,105.55,True,True,True,True,True,False,True,False,0,0
1033.95,13,78.3,True,False,False,True,False,True,False,False,0,0
2958.95,44,68.85,True,False,False,True,False,False,False,False,0,0
2684.85,33,79.95,True,False,False,False,False,True,False,True,0,0
4179.2,72,55.45,False,False,True,True,True,True,True,True,0,0
79.9,1,79.9,True,True,False,True,False,False,False,False,0,1
1934.45,19,106.6,True,True,False,False,True,True,False,True,0,1
6654.1,64,102.45,True,False,False,True,False,True,True,True,0,0
84.5,2,46.0,False,False,False,True,False,True,False,False,0,1
25.25,1,25.25,False,True,False,False,False,False,False,False,0,0
1124.2,61,19.75,False,False,True,True,False,False,False,False,0,0
540.05,29,20.0,False,True,False,False,False,False,True,False,0,0
1975.85,23,86.8,True,True,False,True,False,False,True,False,1,0
3437.45,57,58.75,False,False,False,False,True,True,True,False,0,0
3139.8,72,45.25,False,False,True,True,True,False,True,True,0,0
3789.2,66,56.6,False,False,True,True,True,True,True,True,0,0
5324.5,65,84.2,False,False,True,True,False,True,True,True,0,0
624.6,8,80.0,True,False,False,False,False,True,False,False,0,0
268.35,4,70.15,True,True,False,False,False,True,False,False,0,1
1836.9,71,24.75,False,False,True,False,False,False,True,False,0,0
20.2,1,20.2,False,True,False,True,False,True,True,False,0,0
179.35,4,50.05,False,False,False,True,False,False,True,True,0,1
219.35,12,19.35,False,False,False,False,False,True,False,False,0,0
1288.75,24,50.6,False,False,False,True,True,True,False,False,0,0
2545.75,31,81.15,False,False,False,False,True,True,True,True,0,0
55.2,1,55.2,False,False,False,False,False,False,True,False,0,1
2723.15,30,89.9,True,False,False,True,False,True,False,True,0,0
4107.25,47,85.3,False,False,True,False,True,True,True,True,0,0
5760.65,54,108.0,True,False,True,True,True,True,False,True,0,0
4747.5,50,93.5,True,False,False,True,True,True,False,True,0,0
84.6,1,84.6,True,False,False,True,True,True,False,False,0,1
1566.9,72,20.25,False,False,True,False,False,False,False,False,0,0
702.0,29,25.15,False,True,False,False,False,False,False,False,0,0
114.1,2,54.4,False,False,False,True,False,True,False,False,0,1
299.05,10,29.6,False,False,True,False,False,True,False,True,0,0
1305.95,18,73.15,True,True,False,True,False,True,True,False,0,0
1120.3,11,95.0,True,True,False,False,False,True,False,False,1,1
284.35,16,19.75,False,False,True,True,False,False,False,False,0,0
6350.5,72,86.6,False,False,True,False,False,False,False,True,0,0
7878.3,72,109.2,True,False,True,True,False,False,False,True,0,0
3187.65,41,74.7,False,False,False,False,True,True,True,True,0,0
6126.15,65,94.4,True,True,False,False,True,False,True,False,1,0
731.3,13,54.8,False,True,False,False,False,True,False,False,1,0
273.4,4,75.35,True,True,False,True,True,False,False,False,1,0
2531.8,41,65.0,False,False,False,True,False,False,False,False,0,0
1074.3,15,74.4,True,True,False,True,False,True,False,False,1,1
48.55,1,48.55,False,False,False,True,True,True,False,False,0,1
4298.45,42,99.0,True,True,False,True,True,True,False,False,0,0
4619.55,51,93.5,True,True,False,False,True,True,True,False,0,0
147.15,2,70.4,True,True,False,False,False,False,True,False,0,1
40.2,1,40.2,False,True,False,True,False,False,True,False,1,1
2633.3,32,83.7,False,False,False,True,False,False,False,True,0,0
193.05,10,19.85,False,False,False,True,False,True,False,False,0,0
4103.9,67,59.55,False,True,True,False,False,True,True,True,0,0
7008.15,61,115.1,True,False,True,False,True,False,True,True,0,0
5791.1,50,114.35,True,False,False,True,True,False,False,True,0,0
80.55,2,44.6,False,False,False,False,False,True,True,False,0,1
1228.65,29,45.0,False,True,False,False,True,True,True,False,1,0
132.2,3,41.15,False,True,False,True,False,True,False,False,1,1
1364.3,13,106.9,True,True,False,True,False,True,False,False,1,1
4925.35,57,89.85,True,True,False,True,False,True,True,False,1,0
1520.1,31,49.85,False,False,True,False,True,True,False,True,0,0
5032.25,45,113.3,True,False,False,False,True,False,True,True,0,0
5526.75,61,88.1,False,False,True,False,True,False,True,True,0,0
1195.25,50,24.9,False,False,True,True,False,False,False,False,0,0
2007.25,19,105.0,True,False,False,False,True,True,False,True,1,0
1099.6,59,19.35,False,False,True,True,False,False,False,False,0,1
1732.95,71,24.25,False,False,True,False,False,True,True,False,0,0
1511.2,16,94.45,True,True,False,False,False,True,False,True,1,1
3450.15,57,59.75,False,True,True,True,True,True,True,True,0,0
24.8,1,24.8,False,False,False,True,False,False,False,False,0,1
2172.05,20,107.05,True,True,False,True,False,False,True,True,1,0
70.6,1,70.6,True,False,False,True,False,False,False,False,0,1
401.1,5,85.4,True,True,False,True,False,True,True,True,0,1
5624.85,52,105.05,True,True,False,False,False,True,True,False,0,1
1339.8,21,64.95,False,False,False,True,True,True,True,False,1,0
771.95,14,55.0,False,True,False,True,False,True,False,True,0,0
244.75,5,50.55,False,False,False,False,False,False,False,False,0,0
322.9,6,55.15,False,False,False,False,True,False,False,False,0,0
498.25,10,51.2,False,True,False,False,False,False,False,False,0,0
25.4,1,25.4,False,False,False,False,False,False,False,False,0,0
3687.75,68,54.45,False,False,False,False,True,False,False,False,0,0
1779.95,18,95.15,True,False,False,True,False,False,True,False,0,1
1783.6,22,76.0,True,False,False,False,False,True,False,False,0,0
927.15,20,44.35,False,True,False,False,False,True,False,False,0,0
70.0,1,70.0,True,True,False,True,False,False,True,False,0,1
606.55,8,74.5,True,True,False,True,False,True,False,False,1,1
435.4,10,44.85,False,False,False,True,False,True,False,False,0,1
1712.7,24,76.1,True,True,False,True,False,True,False,False,1,1
2021.2,35,61.2,False,False,False,True,True,False,False,False,0,0
1940.8,23,86.8,True,False,False,True,False,False,True,True,0,0
567.8,6,89.35,True,True,False,False,False,True,False,False,1,0
220.35,12,19.7,False,False,False,False,False,False,False,False,0,0
20.25,1,20.25,False,False,False,True,False,False,False,False,0,0
5436.45,71,76.05,True,True,True,False,False,False,True,False,0,0
3437.5,35,100.8,True,True,False,True,False,True,True,False,1,0
3015.75,40,74.55,False,True,False,True,False,True,True,False,0,0
73.6,1,73.6,True,False,False,False,True,True,False,False,0,1
1509.8,23,64.9,False,False,False,True,False,True,False,False,0,0
396.1,4,95.45,True,True,False,False,False,True,False,False,1,1
356.65,4,90.4,True,True,False,True,False,True,False,True,0,0
4109.0,68,60.3,False,False,True,False,False,False,True,True,0,0
3141.7,38,81.85,True,False,False,True,False,True,False,False,0,0
1229.1,52,24.8,False,False,True,True,False,False,True,False,0,0
2303.35,32,74.9,True,True,False,True,False,True,True,False,1,1
2054.4,29,75.55,False,False,True,True,False,False,True,True,0,0
3741.85,38,101.15,True,True,False,True,False,False,True,False,1,0
3682.45,48,78.75,False,False,False,True,True,True,False,False,0,0
19.25,1,19.25,False,False,False,False,False,True,False,False,0,0
1886.25,22,89.05,True,True,False,False,True,True,False,True,0,0
4895.1,43,115.05,True,False,True,False,True,False,False,True,0,0
341.6,5,69.35,True,True,False,False,False,True,True,False,1,0
415.55,5,80.6,True,True,False,True,False,True,False,False,0,1
5686.4,51,110.05,True,False,False,True,True,False,True,True,0,0
1355.1,71,19.9,False,False,True,True,False,True,False,False,0,0
3058.65,38,80.3,False,False,False,False,True,False,True,True,0,1
2231.05,24,93.15,True,True,False,True,False,True,True,False,1,1
3236.35,35,91.5,True,False,False,True,False,True,True,True,0,0
4350.1,54,82.45,False,False,False,False,True,False,False,True,1,1
4264.0,72,60.0,False,True,True,False,False,True,True,True,0,0
44.8,1,44.8,False,True,False,True,False,True,False,False,0,0
422.3,9,48.6,False,False,False,False,True,False,True,False,0,0
4176.7,69,60.05,False,False,True,True,True,True,False,True,0,0
5138.1,52,102.7,True,False,False,False,False,True,True,True,0,0
880.05,11,82.9,True,True,False,False,False,True,True,True,1,0
139.05,2,70.35,True,True,False,False,False,True,False,False,1,1
973.65,28,35.9,False,True,False,False,False,True,True,False,1,0
1470.05,17,82.65,True,False,False,False,False,True,False,False,1,0
739.35,35,19.85,False,False,True,False,False,True,True,False,0,0
161.95,8,19.2,False,False,False,False,False,True,False,False,0,0
4422.95,46,94.9,True,False,False,True,False,True,False,False,0,0
511.25,7,73.85,True,True,False,False,False,True,False,False,0,1
155.8,2,80.6,True,False,False,False,False,False,False,False,0,1
5293.95,68,75.8,False,False,False,True,False,True,True,True,0,1
4759.85,43,104.6,True,True,True,False,False,True,False,False,0,1
6148.45,68,88.15,False,True,True,False,True,True,False,True,0,0
3565.65,36,94.8,True,False,False,False,False,True,False,False,0,0
6603.0,63,103.4,True,True,False,True,False,True,True,False,0,1
1830.1,32,54.65,False,False,False,False,False,False,False,True,1,0
6223.8,71,85.75,False,False,True,False,True,False,True,True,0,0
4508.65,66,67.45,False,False,False,False,True,True,True,False,0,0
1328.15,63,20.5,False,False,False,True,False,False,False,False,0,0
865.0,41,20.25,False,False,False,False,False,True,False,False,0,0
72.1,1,72.1,True,True,False,False,False,True,False,False,1,0
168.2,2,90.4,True,True,False,False,False,True,False,False,0,1
1303.5,70,19.45,False,False,True,False,False,False,True,False,0,0
996.85,23,44.95,False,True,False,False,False,True,False,False,0,0
6430.9,64,97.0,True,False,False,False,True,False,True,False,1,0
2278.75,37,62.8,False,False,True,True,True,True,True,True,0,0
681.4,17,44.6,False,False,False,True,False,False,False,False,0,0
574.35,7,89.15,True,True,False,False,False,True,False,False,1,0
371.9,4,84.8,True,False,False,True,False,True,True,False,0,1
840.1,21,41.9,False,True,False,False,True,True,False,False,1,1
846.0,10,80.25,True,False,False,False,False,True,False,False,0,1
889.0,16,54.1,False,True,False,False,True,True,False,False,1,0
6823.4,64,105.25,True,True,True,True,False,True,True,True,0,0
805.1,27,30.75,False,False,False,True,True,False,True,False,1,1
4016.75,42,97.1,True,True,False,True,True,False,True,False,0,0
83.75,5,20.2,False,False,False,True,False,False,False,False,0,0
3959.15,41,98.8,True,False,True,False,False,True,False,True,0,0
2878.55,58,50.3,False,False,False,True,False,False,True,False,0,0
945.7,47,20.55,False,False,True,False,False,True,False,False,0,0
1373.05,18,75.9,True,False,False,True,False,True,False,True,0,0
492.55,5,96.5,True,False,False,True,False,False,False,False,0,1
1406.0,23,59.95,False,False,False,True,True,True,True,False,0,0
19.15,1,19.15,False,False,False,False,False,False,False,False,0,0
6962.85,71,98.65,True,False,False,True,False,True,True,False,0,0
8126.65,72,112.6,True,False,True,True,True,True,True,True,0,0
690.25,33,20.6,False,False,False,True,False,False,True,False,0,0
181.5,2,85.65,True,True,False,True,False,True,False,False,0,1
830.8,24,35.75,False,False,True,True,True,False,False,True,0,0
5608.4,56,99.75,True,False,False,False,False,True,True,True,0,0
3646.8,37,96.1,True,False,False,True,False,True,False,False,0,0
3662.25,43,85.1,False,False,False,False,False,False,False,True,0,0
25.35,1,25.35,False,False,False,True,False,False,False,False,0,0
2566.5,25,104.95,True,False,False,False,False,True,True,True,0,1
5308.7,61,89.65,False,True,True,False,True,False,False,True,0,0
1410.25,17,86.75,True,True,False,True,False,False,False,True,0,0
3339.05,41,86.2,True,False,False,False,False,True,True,True,0,0
50.65,1,50.65,False,False,False,True,False,False,False,False,0,1
4732.35,72,64.8,False,False,True,True,True,True,True,True,1,0
90.85,1,90.85,True,False,False,True,False,True,False,False,0,1
5067.45,48,108.1,True,False,True,True,False,True,False,False,0,0
214.75,11,19.95,False,False,False,True,False,False,True,False,1,1
4874.7,55,85.45,True,True,False,False,False,True,True,False,1,1
2348.45,42,54.75,False,True,False,False,True,True,False,True,0,0
4063.0,44,90.4,True,False,False,True,False,True,False,False,0,0
44.0,1,44.0,False,True,False,True,False,False,False,False,0,0
2595.25,27,95.6,True,False,False,False,False,True,False,False,0,0
2309.55,27,84.8,False,False,False,True,False,True,True,True,1,0
89.3,2,44.3,False,True,False,False,False,True,False,False,1,0
367.55,19,19.9,False,False,False,False,False,False,False,False,0,0
3944.5,42,95.05,True,True,False,False,False,True,True,False,1,0
5965.95,66,90.05,False,False,True,False,True,True,False,True,0,0
3694.7,33,109.9,True,False,False,True,True,True,True,True,1,0
2524.45,34,73.95,True,False,False,False,False,True,False,False,0,1
1803.7,33,54.6,False,True,False,True,False,True,False,True,1,0
415.1,23,20.05,False,False,False,False,False,False,True,False,0,0
624.15,32,19.75,False,False,False,False,False,False,False,False,0,0
237.7,11,20.05,False,False,False,False,False,False,False,False,0,0
7007.6,69,99.45,True,False,False,True,False,True,True,False,0,1
3848.8,68,55.9,False,False,False,False,True,False,True,True,0,0
419.4,20,19.7,False,False,True,True,False,True,False,False,0,0
1468.75,72,19.8,False,False,True,True,False,True,False,False,0,0
5812.0,60,95.4,True,False,False,True,True,True,True,False,0,0
2861.45,32,93.95,True,False,False,True,False,True,True,False,1,0
19.9,1,19.9,False,False,False,False,False,True,False,False,0,1
19.6,1,19.6,False,False,False,True,False,True,False,False,0,1
233.7,3,81.35,True,True,False,True,False,True,False,False,1,1
1066.15,46,24.45,False,False,False,False,False,True,True,False,0,0
2149.05,29,74.95,True,True,False,False,False,True,True,False,0,0
4473.0,51,87.35,True,True,False,True,False,True,False,True,0,0
3545.05,48,70.65,True,False,False,False,False,True,True,False,1,0
1195.75,16,73.25,True,False,False,False,False,False,True,False,0,0
6858.9,70,98.7,True,False,True,True,False,True,True,True,0,0
1024.7,40,24.8,False,False,True,False,False,True,True,False,0,0
1845.9,22,83.3,True,True,False,False,False,False,True,False,0,1
75.3,1,75.3,True,False,False,False,False,True,False,False,1,1
132.25,5,24.3,False,False,False,False,False,True,True,False,0,0
515.45,7,69.85,True,False,False,False,False,True,False,False,0,0
2830.45,29,100.55,True,False,False,True,False,False,False,True,0,0
1110.5,44,25.7,False,False,False,True,False,False,True,False,0,0
449.3,10,40.7,False,False,False,False,True,False,False,False,0,0
2838.55,55,51.65,False,False,False,False,False,False,True,False,1,0
5376.4,52,105.1,True,False,False,True,False,True,True,False,1,0
858.6,10,85.95,True,True,False,False,False,False,True,False,0,0
1395.05,18,75.6,True,False,False,True,False,True,False,False,0,0
3975.7,68,58.25,False,False,False,False,True,False,True,True,0,0
1182.55,61,19.4,False,False,False,False,False,True,True,False,0,1
4784.45,72,65.2,False,False,True,False,True,True,True,True,0,0
119.5,2,53.45,False,True,False,True,True,False,False,False,0,0
518.9,12,45.4,False,False,False,True,False,True,False,False,0,1
899.45,41,19.75,False,True,True,True,False,True,True,False,0,0
1183.8,26,44.45,False,False,False,False,False,True,False,True,0,0
720.05,36,20.85,False,False,False,True,False,False,True,False,0,0
8468.2,72,114.05,True,False,True,True,True,True,True,True,0,0
3161.2,35,89.85,True,False,False,True,False,True,True,True,0,0
55.05,1,55.05,False,False,False,True,False,False,False,True,0,0
1882.55,16,112.95,True,True,False,False,True,True,True,True,0,0
5070.4,49,101.55,True,False,False,False,True,False,False,False,1,0
6049.5,54,114.65,True,False,False,False,True,True,True,True,0,0
1166.7,18,64.8,False,True,False,False,True,False,False,False,0,0
2937.65,36,80.4,True,True,False,False,False,False,True,False,0,0
6396.45,60,105.9,True,True,False,False,False,True,False,False,0,1
69.55,1,69.55,True,False,False,False,False,False,False,False,0,1
1270.25,52,25.05,False,False,True,False,False,True,True,False,0,0
759.55,8,94.75,True,True,False,True,False,True,True,False,0,0
